config_path,category,flavor,tracked_status,suite_name,data,tracks,interactions,constraints,out,model_id,window_count,max_seconds,output_dimensionality,epochs,batch_size,lr,seed,bootstrap_seed,prefer_cuda,device,latent_dim,hidden_dim,negative_samples,recall_k,lambda_constraints,lambda_rank,lambda_domain,lambda_contrast,lambda_cov,lambda_tc,lambda_hsic,lambda_source,ranking_negatives,constraint_margin,vertexai,vertex_project,vertex_location,api_key_file
configs/benchmark/log_benchmark_yambda_5b_subset.run.json,benchmark,run,tracked,"""yambda_5b_subset_global_log_benchmark""",,"""E:/Desktop/Echo/storage/public/yambda_5b_subset/tracks.npz""","""E:/Desktop/Echo/storage/public/yambda_5b_subset/interactions.csv""",,,,,,,8,512,0.005,42,42,true,,64,192,4,120,,0.1,0.0,0.2,0.05,0.05,0.02,,4,,,,,
configs/benchmark/recommender_benchmark_culturemert.example.json,benchmark,example,tracked,"""v2_main_culturemert""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/tracks_culturemert_v2_main.npz""","""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,,,,5,256,0.001,42,42,false,,,128,2,,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_culturemert.run.json,benchmark,run,local_or_ignored,"""v2_main_culturemert""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/tracks_culturemert_v2_main.npz""","""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,,,,4,256,0.001,42,42,false,,,128,2,,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_gemini.example.json,benchmark,example,tracked,"""v2_main_gemini_embedding2""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/tracks_gemini_embedding2_main.npz""","""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,,,,5,256,0.001,42,42,false,,,128,2,,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_gemini.run.json,benchmark,run,local_or_ignored,"""v2_main_gemini_embedding2""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/tracks_gemini_embedding2_main.npz""","""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,"""E:/Desktop/Echo/storage/public/research_dataset_v2/interactions_v2_main.csv""",,,,,4,256,0.001,42,42,false,,,128,2,,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_public_routeA_phase2_cn.run.json,benchmark,run,local_or_ignored,"""public_routeA_phase2_cn_lambdamart""",,"""E:/Desktop/Echo/storage/public/routeA_phase2_cn/tracks.npz""","""E:/Desktop/Echo/storage/public/routeA_phase2_cn/interactions.csv""",,,,,,,10,512,0.005,42,42,true,,48,192,6,100,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_toy.example.json,benchmark,example,tracked,"""toy_small_benchmark""",,"""E:/Desktop/Echo/toy_small/tracks.npz""","""E:/Desktop/Echo/toy_small/interactions.csv""",,,,,,,2,128,0.001,42,42,false,,,64,2,,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_v3_culturemert.run.json,benchmark,run,local_or_ignored,"""v3_main_culturemert""",,"""E:/Desktop/Echo/storage/public/research_dataset_v3/tracks_culturemert_v3_main.npz""","""E:/Desktop/Echo/storage/public/research_dataset_v3/interactions_v3_main.csv""",,"""E:/Desktop/Echo/storage/public/research_dataset_v3/interactions_v3_main.csv""",,,,,4,256,0.001,42,42,true,,,128,2,,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_v3_culturemert_open.run.json,benchmark,run,tracked,"""v3_main_culturemert_open_prepal""",,"""E:/Desktop/Echo/storage/public/research_dataset_v3/tracks_culturemert_v3_main_mw3.npz""","""E:/Desktop/Echo/storage/public/research_dataset_v3/interactions_v3_main_mixed_mw3.csv""",,"""E:/Desktop/Echo/storage/public/research_dataset_v3/interactions_v3_main_mixed_mw3.csv""",,,,,4,256,0.001,42,42,true,,,128,2,200,,,,,,,,,,,,,,
configs/benchmark/recommender_benchmark_v3_culturemert_stage3.run.json,benchmark,run,tracked,"""v3_main_culturemert_stage3""",,"""E:/Desktop/Echo/storage/public/research_dataset_v3/tracks_culturemert_v3_main_mw3.npz""","""E:/Desktop/Echo/storage/public/research_dataset_v3/interactions_v3_main_mixed_mw3.csv""",,"""E:/Desktop/Echo/storage/public/research_dataset_v3/interactions_v3_main_mixed_mw3.csv""",,,,,4,256,0.001,42,42,true,,,128,2,200,,,,,,,,,,,,,,
