task_id,track_id_a,track_id_b,culture_a,culture_b,label_a,label_b,title_a,title_b,audio_path_a,audio_path_b,source_url_a,source_url_b,uncertainty,uncertainty_method,question,similar,rationale,annotator,notes
pal_0001,france_0037,russia_0077,france,russia,"[322, 5]","[107, 18, 1235, 5]",I (the defeat of the personal) - XII. Take this morning (for instance),Birds Walk Away,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0037.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\russia\audio\russia_0077.mp3,,,2.138333320617676,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0002,germany_0005,turkey_modern_0005,germany,turkey,"[18, 1235]",,Trailer Music,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0005.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0005.mp3,,,2.138333320617676,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0003,great_britain_0061,italy_0094,great_britain,italy,[10],[4],In The Sun,Soyuz,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0061.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0094.mp3,,,2.138333320617676,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0004,france_0019,modern_english_pop_0097,france,modern_english_pop,"[107, 1235]","['folk', 'pop', 'singersongwriter', 'popfolk']",Mouvement 7,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0019.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0097.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0005,france_0035,turkey_modern_0119,france,turkey,[],,nigtfallleague,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0035.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0119.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0006,germany_0018,indonesia_gamelan_0008,germany,indonesia,"[17, 107, 1235]",orchestra/mixture,Gabriel,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0018.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\indonesia\audio\indonesia_gamelan_0008.wav,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0007,germany_0053,italy_0035,germany,italy,"[17, 107, 1235]",[],There Are Voices,Medicine Sound,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0053.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0035.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0008,great_britain_0010,great_britain_0022,great_britain,great_britain,"[18, 1235]","[10, 76]",Withering Trash Receptacle,danse macabre,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0010.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0022.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0009,great_britain_0045,italy_0010,great_britain,italy,[],[],Devil's Dream,Radical Leap,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0045.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0010.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0010,great_britain_0057,great_britain_0023,great_britain,great_britain,"[17, 103]",[17],Noon,Ocean,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0057.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0023.mp3,,,2.0228090286254883,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
