concept,locked_english_term,do_not_replace_with,anchor,rule
DCAS,DCAS framework,"three-factor VAE; new VAE architecture",E:/Desktop/Echo/dcas/models/dcas_vae.py,"Use framework wording to avoid overclaiming a single architectural novelty."
stage3,stage-3 curriculum training,"full retraining; final-stage fine-tuning",E:/Desktop/Echo/dcas/pipelines.py,"Must denote delayed constraints plus delayed ranking."
backbone,embedding backbone,"encoder backbone; representation model",E:/Desktop/Echo/docs/EXPERIMENT_INDEX.md,"Use for CultureMERT and Gemini."
target-calibrated operating point,target-calibrated operating point,"target mode; target setting",E:/Desktop/Echo/configs/benchmark/recommender_benchmark_v4_main_culturemert_stage3_lambdamart.run.json,"Use when referring to calibrated_target."
minority-oriented operating point,minority-oriented operating point,"minor mode; fairness mode",E:/Desktop/Echo/configs/benchmark/recommender_benchmark_v4_main_culturemert_stage3_lambdamart.run.json,"Use when referring to calibrated_minor."
target-culture affinity,target-culture affinity,"culture match; target similarity",E:/Desktop/Echo/dcas/recommender.py,"Keep distinct from generic relevance."
minority exposure at k,minority exposure at k,"fairness score",E:/Desktop/Echo/dcas/scripts/run_recommender_benchmarks.py,"Use exact metric name in all tables."
source confound,source confound,"source bias",E:/Desktop/Echo/docs/research_dataset_v4/README.md,"Use this exact phrase in limitations."
participatory active learning,participatory active learning,"active learning loop",E:/Desktop/Echo/docs/research_dataset_v4/V4_REAL_PAL_WORKFLOW_2026-03-21_CN.md,"Abbreviate to PAL after first mention."
pseudo-PAL constraints,pseudo-PAL constraints,"weak labels; simulated labels",E:/Desktop/Echo/storage/pal/v4_main_prepal,"Use when constraints are not human-annotated."
calibration-aware reranking,calibration-aware reranking,"post-processing; fairness rerank only",E:/Desktop/Echo/docs/research_dataset_v4/V4_CALIBRATION_HPARAM_SWEEP_RESULTS_2026-03-21_CN.md,"Use to stress systematic controllable trade-off."
routeA_small sanity-check track,routeA_small sanity-check track,"public benchmark; small benchmark",E:/Desktop/Echo/storage/public/research_dataset_v4/routeA_small,"Do not present it as equal to V4 main."
V4 main dataset,V4 main dataset,"main split",E:/Desktop/Echo/storage/public/research_dataset_v4/main,"Use as the primary evidence track."

