paper_statement,code_path_and_line,experimental_support
"Each track is represented by a unified V4 record containing track_id, culture, embedding, optional affect_label, and optional source_dataset.","E:/Desktop/Echo/dcas/data/npz_tracks.py:10-15; E:/Desktop/Echo/dcas/data/npz_tracks.py:33-53","E:/Desktop/Echo/docs/research_dataset_v4/V4_DATA_CONTRACT_2026-03-20_CN.md; E:/Desktop/Echo/reports/audits/phase1_workspace_scan_2026-03-21/dataset_inventory.csv"
"Training batches contain x, culture, track_index, affect_label, and source_label tensors.","E:/Desktop/Echo/dcas/utils.py:24-30; E:/Desktop/Echo/dcas/data/batch.py:10-33; E:/Desktop/Echo/dcas/data/torch_dataset.py:57-82","E:/Desktop/Echo/reports/audits/phase1_workspace_scan_2026-03-21/summary.md"
"The downstream model factorizes each input embedding into zc, zs, and za latent variables.","E:/Desktop/Echo/dcas/models/dcas_vae.py:24-47; E:/Desktop/Echo/dcas/models/dcas_vae.py:49-145","E:/Desktop/Echo/reports/baseline_comparison/v3_main_culturemert/baseline_comparison_summary.json; E:/Desktop/Echo/reports/baseline_comparison/v3_main_gemini/baseline_comparison_summary.json"
"The base objective combines reconstruction, KL, domain-adversarial, contrastive, covariance, total-correlation, HSIC, affect, and source terms.","E:/Desktop/Echo/dcas/models/dcas_vae.py:165-203","E:/Desktop/Echo/reports/ablation/v2_main_gemini/ablation_summary.json; E:/Desktop/Echo/reports/audits/phase2_academic_archaeology_2026-03-21/phase2_academic_archaeology_report.md"
"Pairwise constraint supervision is added through a margin-based auxiliary loss on za.","E:/Desktop/Echo/dcas/pipelines.py:223-257; E:/Desktop/Echo/dcas/pipelines.py:350-359","E:/Desktop/Echo/storage/pal/v4_main_prepal/pseudo_constraints_v1.jsonl; E:/Desktop/Echo/reports/ablation/v2_main_gemini/ablation_summary.json"
"Ranking supervision is activated later through a separate auxiliary loss over rank examples built from interactions.","E:/Desktop/Echo/dcas/pipelines.py:47-110; E:/Desktop/Echo/dcas/pipelines.py:229-276; E:/Desktop/Echo/dcas/pipelines.py:361-363","E:/Desktop/Echo/configs/train/train_v4_main_culturemert_stage3.run.json; E:/Desktop/Echo/docs/research_dataset_v4/V4_CULTUREMERT_STAGE3_BENCHMARK_RESULTS_2026-03-20_CN.md"
"Constraint and ranking losses are not active from epoch 1; they are stage-activated through curriculum scales.","E:/Desktop/Echo/dcas/pipelines.py:307-314; E:/Desktop/Echo/dcas/pipelines.py:341-363; E:/Desktop/Echo/configs/train/train_v4_main_culturemert_stage3.run.json:16-24","E:/Desktop/Echo/docs/manuscript/MAIN_RESULTS_MASTER_TABLE_2026-03-21.csv"
"Source-balanced sampling and source-adversarial supervision are used to mitigate culture-source confounding.","E:/Desktop/Echo/dcas/data/torch_dataset.py:85-95; E:/Desktop/Echo/dcas/pipelines.py:188-195; E:/Desktop/Echo/dcas/models/dcas_vae.py:173-176","E:/Desktop/Echo/docs/research_dataset_v4/README.md; E:/Desktop/Echo/reports/datasets/research_dataset_v4/main/source_confound_report.json"
"Calibration-aware reranking acts as a controllable inference-time trade-off layer rather than a purely fixed post-processing rule.","E:/Desktop/Echo/configs/benchmark/recommender_benchmark_v4_main_culturemert_stage3_lambdamart.run.json; E:/Desktop/Echo/configs/benchmark/recommender_benchmark_v4_routeA_small_culturemert_stage3_calibration_sweep.run.json","E:/Desktop/Echo/docs/research_dataset_v4/V4_CALIBRATION_HPARAM_SWEEP_RESULTS_2026-03-21_CN.md"
"The PAL pipeline is execution-ready and turns uncertainty-ranked pairs into annotation packets and retraining constraints.","E:/Desktop/Echo/dcas/scripts/prepare_real_pal_bundle.py; E:/Desktop/Echo/configs/pal/pal_v4_main_culturemert_prepare.run.json; E:/Desktop/Echo/configs/pal/pal_v4_main_culturemert_real.run.json","E:/Desktop/Echo/docs/research_dataset_v4/V4_REAL_PAL_WORKFLOW_2026-03-21_CN.md"

