participant_id,task_id,seed_track_id,candidate_a_id,candidate_b_id,compatible_choice,discovery_choice,overall_choice,confidence,comment,saved_at
P01,HP001,russia_0060,india_saraga_0089,india_saraga_0054,A,A,A,4,B太阴间了，宗教味道太重,2026-04-19T07:17:05.158Z
P01,HP003,china_jingju_0008,india_saraga_0038,india_saraga_0083,B,B,B,4,A听完我有点死了,2026-04-19T07:19:02.722Z
P01,HP011,great_britain_0062,germany_0011,germany_0003,A,B,B,4,B好听，可惜和参考风格不一样,2026-04-19T07:20:53.038Z
P01,HP010,turkey_modern_0143,italy_0007,italy_0056,Tie,B,B,4,和参考没啥关系,2026-04-19T07:22:07.749Z
P01,HP012,turkey_modern_0120,france_0028,france_0025,A,A,A,4,如果是邪门程度的话B赢了,2026-04-19T07:23:15.970Z
P01,HP004,china_jingju_0024,great_britain_0102,great_britain_0093,B,A,A,4,A很带派，我喜欢，B很安静,2026-04-19T07:24:44.131Z
P01,HP005,germany_0092,great_britain_0007,great_britain_0018,B,B,B,4,A有点疯狂,2026-04-19T07:25:48.396Z
P01,HP009,france_0077,china_ctis_0043,china_opencpop_0031,B,B,B,5,你确定A是歌吗,2026-04-19T07:26:51.763Z
P01,HP002,india_saraga_0091,china_ctis_0030,china_ctis_0007,Tie,Tie,Tie,5,两个乐器的音阶也来掺和，这么听阿三的吟唱也是如此动人,2026-04-19T07:28:47.958Z
P01,HP007,indonesia_fma_0010,modern_english_pop_0083,modern_english_pop_0014,Tie,A,A,4,震惊，感觉最正常的一组，都有淡淡的忧伤的感觉，不过我更爱A,2026-04-19T07:30:52.182Z
P01,HP006,france_0070,turkey_modern_0022,turkey_modern_0096,Tie,B,B,4,A昂扬，B神圣，参考很随性,2026-04-19T07:32:23.404Z
P01,HP008,italy_0009,modern_english_pop_0044,modern_english_pop_0081,Tie,B,B,4,我刚想夸选歌品味好了。。我真欣赏不来A这样的,2026-04-19T07:34:06.175Z
