task_id,track_id_a,track_id_b,judgment,similar,rationale,annotator,timestamp
pal_0001,france_0019,great_britain_0012,b,no,"第一首比较沉重严肃，第二首比较轻快",卞卓贤,1776135553454
pal_0002,france_0037,russia_0077,a,yes,"两首歌都是安静中人声带点灵动",卞卓贤,1776135572811
pal_0003,germany_0002,china_ctis_0050,b,no,"第一首比较安静，适合放松聆听，第二首没啥音乐性，应该就是一个一个音弹出来",卞卓贤,1776175457192
pal_0004,france_0064,italy_0049,b,no,"第一首略欢快，第二首较安静且淡淡忧伤",卞卓贤,1776175514185
pal_0005,russia_0026,modern_english_pop_0095,a,yes,"两首歌都适合比较专注地欣赏，器乐编配比较有意思",卞卓贤,1776175588900
pal_0006,turkey_modern_0125,indonesia_gamelan_0004,b,no,"第一首歌大概是用了弗里吉亚音节的歌曲，比较欢快又有异域风情，第二首歌较安静",卞卓贤,1776257663825
pal_0007,china_ctis_0038,germany_0102,a,yes,"两首歌都比较适合在安静的情景下欣赏，第一首更像是短笛吹奏的音阶练习，第二首则是不同乐器的合奏",卞卓贤,1776257750661
pal_0008,china_jingju_0035,france_0044,b,no,"第一首是戏腔演唱，比较高昂，第二首比较类似先锋音乐，有一种怪异感",卞卓贤,1776257811015
pal_0009,france_0048,italy_0000,a,yes,"第一首是吉他独奏曲，比较安静，适合静静欣赏，第二首也适合安静的环境下欣赏",卞卓贤,1776257860283
pal_0010,germany_0059,germany_0038,a,yes,"两首歌都是比较轻快欢乐的钢琴独奏曲",卞卓贤,1776257901473
pal_0011,germany_0090,france_0006,b,no,"第一首是钢琴与弦乐的重奏，比较安静庄重，第二首大概是拉美地区的吉他弹唱歌曲，比较欢快",卞卓贤,1776257992480
pal_0012,great_britain_0007,france_0089,a,yes,"两首歌都属于长途行车情景下欣赏的音乐",卞卓贤,1776258065973
pal_0013,great_britain_0038,france_0074,b,no,"第一首是比较悠扬的歌曲，第二首节奏感更强",卞卓贤,1776258322950
pal_0014,great_britain_0061,italy_0094,b,no,"第一首比较安静悠扬，第二首比较氛围化，有电子的感觉",卞卓贤,1776258360360
pal_0015,great_britain_0081,russia_0079,a,yes,"两首歌都比较安静又有庄严的感觉",卞卓贤,1776258663614
pal_0016,indonesia_gamelan_0030,indonesia_gamelan_0032,a,yes,"两首歌内容基本类似",卞卓贤,1776258704303
pal_0017,indonesia_gamelan_0047,italy_0052,b,no,"第一首像是敲钟的音乐，有一丝灵动感，第二首更恢宏大气",卞卓贤,1776258757071
pal_0018,italy_0006,france_0042,b,no,"第一首比较意识流，第二首是悠扬的民谣弹唱",卞卓贤,1776258790379
pal_0019,italy_0028,china_jingju_0019,b,no,"第一首偏向庄严大气宏伟的交响乐，第二首是戏腔",卞卓贤,1776258835401
pal_0020,italy_0035,france_0074,b,no,"第一首更安静，第二首节奏感很强，类似放克",卞卓贤,1776258861375
pal_0021,italy_0041,great_britain_0086,a,yes,"两首都是比较适合安静氛围下欣赏的器乐合奏曲",卞卓贤,1776258897893
pal_0022,russia_0025,modern_english_pop_0102,a,yes,"两首歌都适合安静氛围下欣赏",卞卓贤,1776259378521
pal_0023,russia_0063,great_britain_0035,b,no,"都比较适合安静学习或者工作的氛围中欣赏",卞卓贤,1776260507084
pal_0024,germany_0003,germany_0060,a,yes,"都是安静的钢琴独奏曲",卞卓贤,1776260525534
pal_0025,great_britain_0077,russia_0016,b,no,"第一首比较安静舒缓，第二首节奏感更强，比较偏快",卞卓贤,1776260579234
pal_0026,india_saraga_0001,india_saraga_0004,a,yes,"两首歌都类似世界音乐",卞卓贤,1776260609955
pal_0027,india_saraga_0009,india_saraga_0006,a,yes,"两首歌十分类似",卞卓贤,1776260630077
pal_0028,russia_0090,great_britain_0084,a,yes,"两首歌都是安静中带点忧伤",卞卓贤,1776260652277
pal_0029,russia_0098,turkey_modern_0072,a,yes,"两首歌都略带点紧张急促",卞卓贤,1776260678895
pal_0030,germany_0005,france_0000,b,no,"第一首类似比较恢弘的电影配乐，第二首更像是轻快的爵士乐或者波萨诺瓦",卞卓贤,1776260747409
pal_0031,germany_0097,india_saraga_0052,a,yes,"两首歌都适合放松的情景下欣赏",卞卓贤,1776260821984
pal_0032,india_saraga_0099,india_saraga_0100,a,yes,"两首歌都比较适合沉浸式欣赏",卞卓贤,1776260888313
pal_0033,russia_0024,great_britain_0047,b,no,"第一首适合安静欣赏，第二首比较意识流",卞卓贤,1776261228797
pal_0034,china_ctis_0058,china_ctis_0008,a,yes,"两首歌都像是中阮随意弹奏",卞卓贤,1776261261885
pal_0035,france_0054,modern_english_pop_0015,b,no,"第一首更偏电子，第二首更类似安静的流行音乐",卞卓贤,1776261295538
pal_0036,germany_0018,indonesia_gamelan_0008,a,yes,"两首歌都适合在安静情景下欣赏",卞卓贤,1776261356312
pal_0037,germany_0084,russia_0103,a,yes,"两首歌的氛围基调都很类似",卞卓贤,1776261381309
pal_0038,great_britain_0053,turkey_modern_0071,b,no,"第一首比较嘈杂，第二首比较异域风情",卞卓贤,1776262047698
