task_id,track_id_a,track_id_b,culture_a,culture_b,label_a,label_b,title_a,title_b,audio_path_a,audio_path_b,source_url_a,source_url_b,uncertainty,uncertainty_method,question,similar,rationale,annotator,notes
pal_0001,china_ctis_0058,china_ctis_0008,china,china,T0260,T0260,中阮,中阮,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0058.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0008.wav,,,1.9792051315307617,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0002,china_ctis_0006,india_saraga_0095,china,india,D0241,Raag Bahar,编钟,Raag Bahar,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0006.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0095.mp3,,,1.8636808395385742,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0003,china_ctis_0013,india_saraga_0086,china,india,C0296,Raag Shree,唢呐2,Raag Shree,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0013.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0086.mp3,,,1.6987836360931396,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0004,china_ctis_0038,russia_0088,china,russia,C0100,"[107, 5, 1235]",短箫(传统),New Worlds,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0038.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\russia\audio\russia_0088.mp3,,,1.6987836360931396,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0005,china_ctis_0049,italy_0018,china,italy,T0254,[10],箜篌,"""Outsider girl""",E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0049.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0018.mp3,,,1.6762359142303467,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0006,china_ctis_0033,china_ctis_0054,china,china,T0320,T0300,民间热瓦普,澜沧小三弦,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0033.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0054.wav,,,1.6762356758117676,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0007,china_ctis_0009,china_opencpop_0025,china,china,T0301,mandarin_pop,玎,雪落下的声音,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0009.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_opencpop_0025.wav,,,1.632631778717041,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0008,china_ctis_0040,china_ctis_0062,china,china,C0311,C0311,俄比,俄比,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0040.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0062.wav,,,1.632631778717041,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0009,china_ctis_0059,great_britain_0089,china,great_britain,T0078,"[10, 76]",四股弦,Slap up breakfast,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0059.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0089.mp3,,,1.632631778717041,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
pal_0010,china_jingju_0068,france_0084,china,france,lsxp,"[10, 76]",Jiang_shen_er,Lounge Light,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0068.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0084.mp3,,,1.589028000831604,culture_centroid_entropy,请判断这两首曲目是否适合放在同一个歌单或相近的听歌场景里。请根据整体氛围、情绪基调和节奏能量判断它们是否相似；不要根据国家、语言、乐器或标签直接下结论。若相似填 yes，不相似填 no，不确定可留空并在 notes 中说明。,,,,
