claim_id,claim_text,evidence_type,source_path,status,notes
C1,"The downstream pipeline is backbone-agnostic rather than tied to one embedding model.","benchmark results","E:/Desktop/Echo/docs/research_dataset_v4/V4_CULTUREMERT_STAGE3_BENCHMARK_RESULTS_2026-03-20_CN.md",supported,"Use together with Gemini benchmark report."
C1B,"The downstream pipeline is backbone-agnostic rather than tied to one embedding model.","benchmark results","E:/Desktop/Echo/docs/research_dataset_v4/V4_GEMINI_STAGE3_BENCHMARK_RESULTS_2026-03-20_CN.md",supported,"Keep wording qualitative, not universal dominance."
C2,"Calibration-aware reranking creates a controllable trade-off between serendipity, calibration, and minority exposure.","hyperparameter sweep","E:/Desktop/Echo/docs/research_dataset_v4/V4_CALIBRATION_HPARAM_SWEEP_RESULTS_2026-03-21_CN.md",supported,"Best new evidence added in this round."
C3,"The framework's value comes from the modular interaction of representation learning, calibration, and feedback loops.","academic archaeology","E:/Desktop/Echo/reports/audits/phase2_academic_archaeology_2026-03-21/phase2_academic_archaeology_report.md",supported,"Use as high-level method framing."
C4,"Removing constraints changes the fairness-quality balance, showing that constraints are functionally meaningful.","ablation","E:/Desktop/Echo/reports/ablation/v2_main_gemini/ablation_summary.json",supported,"Best concrete example: no_constraints vs full."
C5,"Variant comparisons suggest the three-factor design is not reducible to a plain VAE baseline.","baseline comparison","E:/Desktop/Echo/reports/baseline_comparison/v3_main_culturemert/baseline_comparison_summary.json",supported_with_caveat,"Use as variant comparison, not overclaim as strict ablation."
C6,"V4 provides a more rigorous dataset contract and audit path than the earlier placeholder draft setup.","dataset audit","E:/Desktop/Echo/docs/research_dataset_v4/V4_DATA_CONTRACT_2026-03-20_CN.md",supported,"Connect to dataset section."
C7,"The system is ready for real PAL execution.","workflow asset","E:/Desktop/Echo/docs/research_dataset_v4/V4_REAL_PAL_WORKFLOW_2026-03-21_CN.md",supported,"Say PAL-ready or execution-ready, not completed human study."
L1,"Source confound has been fully solved.","limitations","E:/Desktop/Echo/docs/research_dataset_v4/README.md",not_supported,"Do not claim this."
L2,"routeA_small provides the same evidential strength as V4 main.","limitations","E:/Desktop/Echo/reports/audits/phase1_workspace_scan_2026-03-21/summary.md",not_supported,"Keep routeA_small as sanity-check/public small-line."

